"Name","Team","Age","PA","Events","EV","maxEV","LA","Barrels","Barrel%","HardHit","HardHit%","AVG","xBA","SLG","xSLG","wOBA","xwOBA","WAR","K%","BABIP","BB%","playerid"
"Juan Soto","WSN","21","196","126","92.1","113.3","4.2","22","17.5%","65","51.6%",".351",".332",".695",".696",".478",".474","2.5","14.3%",".363","20.9%","20123"
"Freddie Freeman","ATL","30","262","177","92.4","109.3","17.2","26","14.7%","96","54.2%",".341",".338",".640",".657",".456",".461","3.3","14.1%",".366","17.2%","5361"
"Marcell Ozuna","ATL","29","267","169","93.0","115.6","16.4","26","15.4%","91","53.8%",".338",".313",".636",".635",".444",".435","2.5","22.5%",".391","14.2%","10324"
"DJ LeMahieu","NYY","31","216","175","91.3","109.5","2.3","5","2.9%","80","45.7%",".364",".308",".590",".453",".429",".361","2.5","9.7%",".370","8.3%","9874"
"Jose Ramirez","CLE","27","254","177","88.7","114.3","23.2","18","10.2%","62","35.0%",".292",".263",".607",".505",".415",".371","3.5","16.9%",".294","12.2%","13510"
"Ronald Acuna Jr.","ATL","22","202","100","92.4","114.8","18.6","16","16.0%","57","57.0%",".250",".257",".581",".599",".413",".421","2.4","29.7%",".302","18.8%","18401"
"Trea Turner","WSN","27","259","199","90.5","111.2","9.5","18","9.0%","81","40.7%",".335",".299",".588",".509",".413",".379","2.7","13.9%",".353","8.5%","16252"
"Dominic Smith","NYM","25","199","135","89.8","110.7","10.8","18","13.3%","63","46.7%",".316",".301",".616",".563",".412",".389","1.8","22.6%",".368","7.0%","15653"
"Nelson Cruz","MIN","39","214","127","91.6","114.4","9.4","19","15.0%","59","46.5%",".303",".266",".595",".540",".411",".377","2.0","27.1%",".360","11.7%","2434"
"Jose Abreu","CHW","33","262","182","92.9","114.0","10.9","26","14.3%","97","53.3%",".317",".299",".617",".587",".411",".398","2.6","22.5%",".350","6.9%","15676"
"Mike Trout","LAA","28","241","147","93.7","112.9","23.1","22","15.0%","81","55.1%",".281",".287",".603",".603",".407",".421","2.5","23.2%",".300","14.5%","10155"
"Mike Yastrzemski","SFG","29","225","137","88.2","105.6","18.4","15","10.9%","58","42.3%",".297",".254",".568",".492",".407",".367","2.6","24.4%",".370","13.3%","14854"
"Michael Conforto","NYM","27","233","145","88.4","114.4","11.0","16","11.0%","53","36.6%",".322",".285",".515",".482",".401",".375","2.1","24.5%",".412","10.3%","16376"
"Bryce Harper","PHI","27","244","150","92.5","114.7","16.0","26","17.3%","76","50.7%",".268",".308",".542",".658",".400",".453","1.6","17.6%",".279","20.1%","11579"
"Wil Myers","SDP","29","218","142","91.0","109.2","13.4","21","14.8%","65","45.8%",".288",".282",".606",".584",".400",".392","1.9","25.7%",".331","8.3%","10047"
"Anthony Rendon","LAA","30","232","158","90.1","109.1","19.6","10","6.3%","63","39.9%",".286",".286",".497",".467",".395",".387","2.6","13.4%",".302","16.4%","12861"
"Corey Seager","LAD","26","232","177","93.2","113.1","11.9","28","15.8%","98","55.4%",".307",".326",".585",".647",".394",".427","1.8","15.9%",".309","7.3%","13624"
"Luke Voit","NYY","29","234","160","88.9","111.7","15.2","21","13.1%","64","40.0%",".277",".279",".610",".584",".393",".388","1.8","23.1%",".268","7.3%","14811"
