"","p_throws","hitter","pitch_type","pitch_speed","min_x","max_x","min_z","max_z","min_spin","max_spin"
"1","L","L","CH",76,1.15,1.15,0.72,0.72,2068,2068
"2","L","L","CH",78,0.93,1.82,0.19,0.83,1796,2236
"3","L","L","CH",79,0.57,1.77,0.09,1.15,1148,2263
"4","L","L","CH",80,0.76,1.98,0.02,1.06,1345,2259
"5","L","L","CH",81,0.66,1.72,0.19,1.16,1338,2939
"6","L","L","CH",82,0.66,1.52,0.13,1.26,1225,2084
"7","L","L","CH",83,0.58,1.71,-0.23,1.26,1193,2173
"8","L","L","CH",84,0.38,1.82,-0.41,1.27,1007,2479
"9","L","L","CH",85,0.66,1.69,-0.37,1.09,1169,2237
"10","L","L","CH",86,0.38,1.78,-0.8,1.18,1077,2586
"11","L","L","CH",87,0.26,1.67,-0.42,0.95,1113,2074
"12","L","L","CH",88,0.74,1.67,-0.24,1.14,1245,2527
"13","L","L","CH",89,0.71,1.62,0.05,0.9,1242,1934
"14","L","L","CH",90,0.96,1.59,0.15,0.91,1214,2147
"15","L","L","CH",91,1.36,1.61,0.26,0.73,2085,2180
"16","L","L","CH",92,1.23,1.23,0.62,0.62,2157,2157
"17","L","L","CH",93,1.23,1.23,0.48,0.48,1849,1849
"18","L","L","CU",68,-1.19,-1.19,0.24,0.24,2363,2363
"19","L","L","CU",69,-1.71,-1.54,-0.92,-0.86,2347,2534
"20","L","L","CU",70,-1.69,-0.2,-1.57,-0.87,2224,2710
"21","L","L","CU",71,-1.8,-0.51,-1.44,-0.87,2329,2729
"22","L","L","CU",72,-1.79,-0.3,-1.6,0.85,2278,2788
"23","L","L","CU",73,-1.88,0,-1.59,-0.48,1849,2907
"24","L","L","CU",74,-1.5,-0.17,-1.97,-0.47,1927,2937
"25","L","L","CU",75,-1.42,-0.08,-1.66,0.82,1734,2925
"26","L","L","CU",76,-1.48,-0.05,-1.82,0.2,1694,3076
"27","L","L","CU",77,-1.62,0.46,-1.74,0.31,1762,3032
"28","L","L","CU",78,-1.4,0.42,-1.52,0.41,1725,2998
"29","L","L","CU",79,-1.38,0.4,-1.65,0.63,1926,3006
"30","L","L","CU",80,-1.6,0.33,-1.75,0.83,1907,3091
"31","L","L","CU",81,-1.41,0.41,-1.54,0.45,1766,3116
"32","L","L","CU",82,-1.58,0.28,-1.5,0.35,1922,2980
"33","L","L","CU",83,-1.48,0.07,-1.23,0.32,1924,2922
"34","L","L","CU",84,-1.53,-0.01,-1.31,0.3,2031,2786
