"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"(Intercept)",-14.7053995212854,0.824686444525277,-17.8315038629626,0.00000000000000000000000000000000000000000000000000000000000000000000004024488401881,"whiff","R","FF"
"pitch_speed",0.0976659509919938,0.00890924459743311,10.9623155952114,0.000000000000000000000000000579961264407077,"whiff","R","FF"
"pfx_z",0.102129727317275,0.0148149203037155,6.89370750726626,0.0000000000054356731964886,"whiff","R","FF"
"pfx_total",-0.0997386809180403,0.0149487463857826,-6.67204314957806,0.0000000000252266367068248,"whiff","R","FF"
"zone1",-0.180534567459131,0.145257357047081,-1.24286005975323,0.213919405866144,"whiff","R","FF"
"zone2",-0.224648427401909,0.117870962160053,-1.90588439497818,0.0566652061043957,"whiff","R","FF"
"zone3",-0.0842350847269882,0.138941942908057,-0.606261025029205,0.54434143525137,"whiff","R","FF"
"zone4",-0.533464377628949,0.138137636396432,-3.8618322388114,0.00011253983665045,"whiff","R","FF"
"zone6",0.0662589794598794,0.114455113025152,0.578907990290645,0.562651258452466,"whiff","R","FF"
"zone7",-0.511105026358124,0.270307703161277,-1.89082671481684,0.0586474797852197,"whiff","R","FF"
"zone8",0.0453377387445881,0.169522297458148,0.267444102778168,0.789127246542632,"whiff","R","FF"
"zone9",-0.0083035769977926,0.18959510905616,-0.0437963671063528,0.96506672293664,"whiff","R","FF"
"zone11",0.1892501630634,0.165121682925643,1.14612544948819,0.251743248781345,"whiff","R","FF"
"zone12",-0.0973967538934402,0.162995024165232,-0.597544338498988,0.550144013764156,"whiff","R","FF"
"zone13",0.174760288695474,0.276390593726907,0.632294631807007,0.527194370709114,"whiff","R","FF"
"zone14",0.271348627115149,0.200238210092098,1.35512910842713,0.175376426063872,"whiff","R","FF"
"dist_z",1.12300814247884,0.0951005375847591,11.808641370486,0.000000000000000000000000000000035220648945707,"whiff","R","FF"
"dist_prop",0.835378947358394,0.258420397888435,3.23263548150344,0.00122653960206028,"whiff","R","FF"
"I(dist_x^2)",-0.837051103814699,0.0968144628019133,-8.64593036607912,0.00000000000000000533686544396849,"whiff","R","FF"
"I(dist_z^2)",-0.9047779941308,0.0982870364052538,-9.20546622649451,0.0000000000000000000340191165133767,"whiff","R","FF"
"release_spin_rate",0.000683748235861041,0.000135054917682508,5.06274223548396,0.00000041326845340125,"whiff","R","FF"
"pred",17.7277512836683,0.754132616527332,23.5074718890982,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000342072614770228,"whiff","R","FF"
"(Intercept)",4.1912237627553,1.68061670325106,2.49386058977494,0.0126362163287776,"Barrel","R","FF"
"pitch_speed",-0.084656342586603,0.0181945051133136,-4.65285216934297,0.00000327374955683577,"Barrel","R","FF"
"zone1",-0.0634850999595507,0.240535549657632,-0.263932296285987,0.791832088907933,"Barrel","R","FF"
"zone2",-0.124511072788055,0.181693414428427,-0.685281154409162,0.493166521542549,"Barrel","R","FF"
"zone3",-0.270437484684789,0.231767159117974,-1.16684989242644,0.243270994335019,"Barrel","R","FF"
"zone4",0.441829272119709,0.160020664462087,2.7610763497635,0.00576112065682008,"Barrel","R","FF"
"zone6",0.00678497978996717,0.153649756449108,0.0441587409363352,0.964777869913657,"Barrel","R","FF"
"zone7",0.719837597897357,0.297232588738972,2.4217990394368,0.0154438884743918,"Barrel","R","FF"
"zone8",-0.204322131750439,0.266164701794388,-0.767652999713979,0.442693366112704,"Barrel","R","FF"
"zone9",-0.573487765048859,0.336672775782224,-1.70339809542491,0.0884935938952856,"Barrel","R","FF"
