"","x","z","response","hand","pitch","pred"
"1",-2,-2.5,"barrel","left","changeup",-15.8181184893387
"2",-2,-2.5,"barrel","left","curveball",-14.8689596965354
"3",-2,-2.5,"barrel","left","fastball",-10.2447022007942
"4",-2,-2.5,"barrel","left","slider",-13.5544193862035
"5",-2,-2.5,"barrel","right","changeup",-16.4045881559786
"6",-2,-2.5,"barrel","right","curveball",-24.1118110683189
"7",-2,-2.5,"barrel","right","fastball",-11.4344323776164
"8",-2,-2.5,"barrel","right","slider",-18.3413080795936
"9",-2,-2.5,"strike","left","changeup",-3.43726974150575
"10",-2,-2.5,"strike","left","curveball",-3.09793890628665
"11",-2,-2.5,"strike","left","fastball",-9.7366078284755
"12",-2,-2.5,"strike","left","slider",-1.29132158467361
"13",-2,-2.5,"strike","right","changeup",-3.3729714940431
"14",-2,-2.5,"strike","right","curveball",-2.03291644704679
"15",-2,-2.5,"strike","right","fastball",-8.57807775781298
"16",-2,-2.5,"strike","right","slider",-1.07664045697584
"17",-2,-2.5,"whiff","left","changeup",-2.52679054779386
"18",-2,-2.5,"whiff","left","curveball",-1.26934890666688
"19",-2,-2.5,"whiff","left","fastball",-11.0441133312753
"20",-2,-2.5,"whiff","left","slider",0.88453443793091
"21",-2,-2.5,"whiff","right","changeup",-3.73794598979686
"22",-2,-2.5,"whiff","right","curveball",-0.160870261825346
"23",-2,-2.5,"whiff","right","fastball",-9.13606964213756
"24",-2,-2.5,"whiff","right","slider",0.79917700267659
"25",-2,-2.4,"barrel","left","changeup",-15.0826164762798
"26",-2,-2.4,"barrel","left","curveball",-14.1116817259992
"27",-2,-2.4,"barrel","left","fastball",-9.69971338528069
"28",-2,-2.4,"barrel","left","slider",-12.7367625082837
"29",-2,-2.4,"barrel","right","changeup",-15.7869205829813
"30",-2,-2.4,"barrel","right","curveball",-22.8049559344685
"31",-2,-2.4,"barrel","right","fastball",-10.8915399201343
"32",-2,-2.4,"barrel","right","slider",-17.3522288396101
"33",-2,-2.4,"strike","left","changeup",-3.12166173716657
"34",-2,-2.4,"strike","left","curveball",-2.84278587368671
"35",-2,-2.4,"strike","left","fastball",-9.05373351933833
"36",-2,-2.4,"strike","left","slider",-1.09233535020592
"37",-2,-2.4,"strike","right","changeup",-3.00552334399833
"38",-2,-2.4,"strike","right","curveball",-1.81802057903958
"39",-2,-2.4,"strike","right","fastball",-7.89383309932299
"40",-2,-2.4,"strike","right","slider",-0.897841573377123
"41",-2,-2.4,"whiff","left","changeup",-2.26475614254292
"42",-2,-2.4,"whiff","left","curveball",-0.952538055031048
"43",-2,-2.4,"whiff","left","fastball",-10.4939782576972
"44",-2,-2.4,"whiff","left","slider",1.08580132058364
"45",-2,-2.4,"whiff","right","changeup",-3.34536186625369
"46",-2,-2.4,"whiff","right","curveball",0.0140276040570626
"47",-2,-2.4,"whiff","right","fastball",-8.64513794225536
"48",-2,-2.4,"whiff","right","slider",0.912396653823799
"49",-2,-2.3,"barrel","left","changeup",-14.3771349535498
"50",-2,-2.3,"barrel","left","curveball",-13.3897671286233
"51",-2,-2.3,"barrel","left","fastball",-9.17696901121673
"52",-2,-2.3,"barrel","left","slider",-11.9562269754989
"53",-2,-2.3,"barrel","right","changeup",-15.1944639313309
"54",-2,-2.3,"barrel","right","curveball",-21.5574442796647
"55",-2,-2.3,"barrel","right","fastball",-10.3694273065837
"56",-2,-2.3,"barrel","right","slider",-16.4054417356737
"57",-2,-2.3,"strike","left","changeup",-2.82416093738589
"58",-2,-2.3,"strike","left","curveball",-2.60194294634593
"59",-2,-2.3,"strike","left","fastball",-8.40480636282173
"60",-2,-2.3,"strike","left","slider",-0.905280908396
"61",-2,-2.3,"strike","right","changeup",-2.65856876155969
"62",-2,-2.3,"strike","right","curveball",-1.61511710738429
"63",-2,-2.3,"strike","right","fastball",-7.24268426596769
"64",-2,-2.3,"strike","right","slider",-0.730263601166347
"65",-2,-2.3,"whiff","left","changeup",-2.02065026553985
"66",-2,-2.3,"whiff","left","curveball",-0.658232310292679
"67",-2,-2.3,"whiff","left","fastball",-9.9639840852367
"68",-2,-2.3,"whiff","left","slider",1.2723498065899
"69",-2,-2.3,"whiff","right","changeup",-2.97837648218891
"70",-2,-2.3,"whiff","right","curveball",0.176374509439004
"71",-2,-2.3,"whiff","right","fastball",-8.17120536002206
"72",-2,-2.3,"whiff","right","slider",1.01606117454122
"73",-2,-2.2,"barrel","left","changeup",-13.7016739211487
"74",-2,-2.2,"barrel","left","curveball",-12.7032159044076
"75",-2,-2.2,"barrel","left","fastball",-8.67646907860232
"76",-2,-2.2,"barrel","left","slider",-11.2128127878492
"77",-2,-2.2,"barrel","right","changeup",-14.6272182010272
"78",-2,-2.2,"barrel","right","curveball",-20.3689487523812
"79",-2,-2.2,"barrel","right","fastball",-9.86809453696458
"80",-2,-2.2,"barrel","right","slider",-15.5008419733136
"81",-2,-2.2,"strike","left","changeup",-2.54453150942325
"82",-2,-2.2,"strike","left","curveball",-2.3752455332852
"83",-2,-2.2,"strike","left","fastball",-7.78944275498595
"84",-2,-2.2,"strike","left","slider",-0.729950481131024
"85",-2,-2.2,"strike","right","changeup",-2.33180803251517
"86",-2,-2.2,"strike","right","curveball",-1.4240303632506
"87",-2,-2.2,"strike","right","fastball",-6.62429646413597
"88",-2,-2.2,"strike","right","slider",-0.573744965504702
"89",-2,-2.2,"whiff","left","changeup",-1.7943606840022
"90",-2,-2.2,"whiff","left","curveball",-0.386250720201068
"91",-2,-2.2,"whiff","left","fastball",-9.45400129955916
"92",-2,-2.2,"whiff","left","slider",1.44445805341524
"93",-2,-2.2,"whiff","right","changeup",-2.6368403703105
"94",-2,-2.2,"whiff","right","curveball",0.326366556243224
"95",-2,-2.2,"whiff","right","fastball",-7.71418764800683
"96",-2,-2.2,"whiff","right","slider",1.11032362389733
"97",-2,-2.1,"barrel","left","changeup",-13.0562333790766
"98",-2,-2.1,"barrel","left","curveball",-12.0520280533522
"99",-2,-2.1,"barrel","left","fastball",-8.19821358743742
"100",-2,-2.1,"barrel","left","slider",-10.5065199453346
"101",-2,-2.1,"barrel","right","changeup",-14.0851833920704
"102",-2,-2.1,"barrel","right","curveball",-19.239114656062
"103",-2,-2.1,"barrel","right","fastball",-9.38754161127683
"104",-2,-2.1,"barrel","right","slider",-14.6383160041426
"105",-2,-2.1,"strike","left","changeup",-2.28251792045219
"106",-2,-2.1,"strike","left","curveball",-2.16251529455897
"107",-2,-2.1,"strike","left","fastball",-7.20722704786468
"108",-2,-2.1,"strike","left","slider",-0.566118933731475
"109",-2,-2.1,"strike","right","changeup",-2.02491640628272
"110",-2,-2.1,"strike","right","curveball",-1.2445700034629
"111",-2,-2.1,"strike","right","fastball",-6.03830693351917
"112",-2,-2.1,"strike","right","slider",-0.428110594537596
"113",-2,-2.1,"whiff","left","changeup",-1.58576578987815
"114",-2,-2.1,"whiff","left","curveball",-0.136397216814217
"115",-2,-2.1,"whiff","left","fastball",-8.96388956746099
"116",-2,-2.1,"whiff","left","slider",1.60242745417082
"117",-2,-2.1,"whiff","right","changeup",-2.3205915777042
"118",-2,-2.1,"whiff","right","curveball",0.464216227598642
"119",-2,-2.1,"whiff","right","fastball",-7.27399352124185
"120",-2,-2.1,"whiff","right","slider",1.19534984661879
"121",-2,-2,"barrel","left","changeup",-12.4408133273334
"122",-2,-2,"barrel","left","curveball",-11.436203575457
"123",-2,-2,"barrel","left","fastball",-7.74220253772206
"124",-2,-2,"barrel","left","slider",-9.83734844795513
"125",-2,-2,"barrel","right","changeup",-13.5683595044605
"126",-2,-2,"barrel","right","curveball",-18.1675581826012
"127",-2,-2,"barrel","right","fastball",-8.92776852952051
"128",-2,-2,"barrel","right","slider",-13.8177409603438
"129",-2,-2,"strike","left","changeup",-2.03784366491185
"130",-2,-2,"strike","left","curveball",-1.96355925305599
"131",-2,-2,"strike","left","fastball",-6.65770947938373
"132",-2,-2,"strike","left","slider",-0.413542653696773
"133",-2,-2,"strike","right","changeup",-1.73754247853175
"134",-2,-2,"strike","right","curveball",-1.07653006252057
"135",-2,-2,"strike","right","fastball",-5.48432314042996
